id,hate
930224125087567872,no
930224110499762176,no
930223466661507072,yes
930223457585061888,yes
930223280266588162,yes
930223178076639232,no
930222283817230336,no
930222140665757696,no
930221555627560960,yes
930221314757013511,yes
930220978625445888,yes
930218924515438592,no
930218341742063617,yes
930218151492640769,yes
930218016956125184,no
930217995007295488,yes
930217275537412097,yes
930217234970169344,yes
930216947224141824,no
930216257923710976,yes
930216011009273856,yes
930215700920176641,no
930214965323227137,no
930214686217392128,yes
930214490095923200,no
930214318007832576,yes
930214315554168833,no
930214294624571393,yes
930214269794312194,yes
930214266820530178,yes
930213160388366336,yes
930212840849444864,yes
930212192028381186,yes
930211825794371584,yes
930211056844144640,yes
930210774869594112,yes
930210603486121985,yes
930207329412354049,yes
930206473145139202,yes
930206290185506816,yes
930206118449643522,yes
930205810537500672,no
930205765566124032,yes
930205759601872896,yes
930205449147895808,no
930205354247499776,yes
930204469673021441,yes
930204290538405890,yes
930204275539525632,yes
930204027681374208,yes
930203351198859265,no
930203100098547712,no
930203017294630914,yes
930202119780618241,yes
930202114428751872,yes
930201686546796545,yes
930200769030230017,no
930200523432751104,no
930200379681320960,yes
930199921118064640,yes
930199904261214208,yes
930199872757796864,yes
930198851075616768,yes
930198811615617024,yes
930198719710007296,yes
930198617930989569,no
930197526418022400,yes
930197296897196032,yes
930197154265780226,yes
930196731790331905,yes
930196500067618821,yes
930196153248960517,yes
930196088509861888,yes
930195943596679169,yes
930195419304550400,yes
930195008807931904,no
930194394690605057,yes
930194304642973697,no
930193424782946304,no
930193417707155456,yes
930193227759652864,yes
930192844169629696,no
930191142943109121,yes
930190879876435968,yes
930190567119532032,yes
930190432633606144,yes
930189993993261062,yes
930189828842512384,yes
930189786505207809,yes
930188948143591424,no
930188689929629703,no
930188670728069125,no
930188524321693702,yes
930188474438778886,no
930188285065953281,yes
930188185824583680,yes
930187551343857664,yes
930187317494640640,yes
930187100225404928,yes
930186682154078209,yes
930186571395076103,yes
930186297125359619,yes
930186279580520448,yes
930186265089232897,yes
930186090740355073,no
930185812481888256,yes
930185523381010434,yes
930184989022609409,yes
930184699808505862,yes
930184287084863490,yes
930183822020435968,yes
930182175978393600,yes
930181261783719945,yes
930181193831731200,no
930180976570925056,yes
930180947059855362,yes
930180879909081090,yes
930180783062634496,no
930180589948493830,yes
930180309269778433,no
930180256060858369,yes
930179587551694848,yes
930179378696384514,yes
930179157878824963,yes
930178462601695234,yes
930178418536218624,yes
930178065870868480,yes
930177387060432896,no
930176608484372482,yes
